species	species_ID_method	strain	isotype	previous_names	sequenced	release	source_lab	latitude	longitude	landscape	locality_description	substrate	substrate_comments	substrate_temp	substrate_moisture	ambient_temp	ambient_humidity	associated_organism	life_stage	log_size_of_population	males_observed	inbreeding_state	photo	sampled_by	isolated_by	sampling_date	sampling_date_comments	isolation_comments	notes
		JU1847		E15.1			JU	4.090833	-52.67465	Forest		rotting fruit, Apeiba echinata												C. Braendle & M.-A. Felix	C. Braendle & M.-A. Felix	2009-11-22		Isolated from rotten Apeiba echinata fruits (monkey combs) sampled in Nouragues Forest (next to small river), French guiana, on 22 Nov 2009. Sample plated on the 23 Nov and parent worm isolated at L4 stage on 25 Nov.	
		JU1848		E18.1			JU	4.090933	-52.674933	Forest		rotting fruit, palm	dauer											C. Braendle & M.-A. Felix	C. Braendle & M.-A. Felix	2009-11-22		Isolated from rotten palm tree fruits sampled in Nouragues Forest (next to small river), French guiana, on 22 Nov 2009. Sample plated on the 23 Nov and parent worm isolated at post dauer stage on 25 Nov.	
		JU1849		F6.1			JU	4.086683	-52.68165	Forest		rotting flower, Bignonaceae												C. Braendle & M.-A. Felix	C. Braendle & M.-A. Felix	2009-11-23		Isolated from rotten Bignonaceae flowers sampled in Nouragues Forest, French guiana, on 23 Nov 2009. Sample plated on the 24 Nov and parent worm isolated at L4 stage on the same day (+ 11 hrs). Same sample as JU1850.	
		JU1850		F6.2			JU	4.086683	-52.68165	Forest		rotting flower, Bignonaceae	non-dauer											C. Braendle & M.-A. Felix	C. Braendle & M.-A. Felix	2009-11-23		Isolated from rotten Bignonaceae flowers sampled in Nouragues Forest, French guiana, on 23 Nov 2009. Sample plated on the 24 Nov and parent worm isolated at L2d stage on the same day (+ 11 hrs). Same sample as JU1849.	
		JU1851		F9.1			JU	4.087367	-52.682217	Forest		rotting fruit, Inga												C. Braendle & M.-A. Felix	C. Braendle & M.-A. Felix	2009-11-23		Isolated from rotten Inga sp. fruits (beans)sampled in Nouragues Forest, French guiana, on 23 Nov 2009. Sample plated on the 24 Nov and parent worm isolated at adult stage on the same day (+ 7 hrs). Same sample as JU1852.	
		JU1870		G5.1			JU	4.082883	-52.679783	Forest		rotting fruit												C. Braendle & M.-A. Felix	C. Braendle & M.-A. Felix	2009-11-24		Isolated from rotten fig-like fruits (Moraceae, Brosimum?) sampled on the Petit Plateau in Nouragues Forest, French guiana, on 24 Nov 2009. Sample plated on the 24 Nov and parent worm isolated at adult stage on 25 Nov (+ 25 hrs).	
		JU1871		G6.2			JU	4.082883	-52.679783	Forest		rotting flower												C. Braendle & M.-A. Felix	C. Braendle & M.-A. Felix	2009-11-24		Isolated from rotten flower-fruits sampled on the Petit Plateau in Nouragues Forest, French guiana, on 24 Nov 2009. Sample plated on the 24 Nov and parent worm isolated at adult stage on 25 Nov (+ 25 hrs).	
		JU1872		G8.1	1		JU	4.085717	-52.679517	Forest		rotting flower												C. Braendle & M.-A. Felix	C. Braendle & M.-A. Felix	2009-11-24		Isolated from rotten flowers sampled on the Petit Plateau (next to path RG) in Nouragues Forest, French guiana, on 24 Nov 2009. Sample plated on the 24 Nov and parent worm isolated at young adult stage on 25 Nov (+ 25 hrs).	
		JU1975		Br2.1	1		JU	-2.96	-59.84	Forest		rotting fruit													M.-A. Felix	2010-06-22		Isolated from a rotting fruit (picture) sampled on 22 Jun 2010 at Amazon village (near Manaus), Brazil. About 4 m from JU1976.	
		JU1976		Br3.1			JU	-2.96	-59.84	Forest		rotting fruit													M.-A. Felix	2010-06-22		Isolated from a rotting fruit (picture, different from JU1975) sampled on 22 Jun 2010 at Amazon village (near Manaus), Brazil. About 4 m from JU1975.	
		JU2505		Flower2	1		JU	10.4708	-84.6452	Forest		rotting flower												A. Peluffo Sr.	L. Frezal	2013-03-31		Isolated from a rotting flower sampled on the plant above the ground by Alexander Peluffo in Costa Rica in Apr 2013. Plugged female isolated by Lise Frezal on the 25 Apr 2013. Male-female species.	
		JU2750		6			JU	16.1761	-61.6951	Forest		rotting fruit												F. Besnard	L. Frezal	2014-06-09		Isolated from a rotting fruit sampled on 09 June 2014 by Fabrice Besnard in Guadeloupe (Basse Terre, 16.1761, -61.6951). Started with a plugged female.	
		JU2751		10			JU	16.1761	-61.6951	Forest		rotting fruit												F. Besnard	L. Frezal	2014-06-09		Isolated from a rotting fruit sampled on 09 June 2014 by Fabrice Besnard in Guadeloupe (Basse Terre, 16.1761, -61.6951). Started with a plugged female.	
		JU2752		2	1		JU	16.1761	-61.6951	Forest		rotting fruit												F. Besnard	L. Frezal	2014-06-09		Isolated from a rotting fruit sampled on 09 June 2014 by Fabrice Besnard in Guadeloupe (Basse Terre, 16.1761, -61.6951). Started with a plugged female.	
		JU3170			1		JU	0.289	6.612	Botanical garden			rotting Taro leaves													2016-09-22		Botanical Garden of Bom Successo, Sao Tome, 22-23 Sep 2016. GPS 0.289, 6.612	
		NIC1000		30-O1-1			NIC	4.0391	-52.6675	Forest		Fruit (bait)	Orange (bait)											C. Braendle & A. Cutter	C. Braendle	2014-08-17		Layon 2	Fruit spot sampling experiment
		NIC1001		30-O1-2			NIC	4.0391	-52.6675	Forest		Fruit (bait)	Orange (bait)											C. Braendle & A. Cutter	C. Braendle	2014-08-17		Layon 2	Fruit spot sampling experiment
		NIC1003		31-B1-2			NIC	4.03896	-52.66843	Forest		Fruit (bait)	Banana (bait)											C. Braendle & A. Cutter	C. Braendle	2014-08-17		Layon 2	Fruit spot sampling experiment
		NIC1004		31-O2-1			NIC	4.03896	-52.66843	Forest		Fruit (bait)	Orange (bait)											C. Braendle & A. Cutter	C. Braendle	2014-08-17		Layon 2	Fruit spot sampling experiment
		NIC1005		31-O2-2			NIC	4.03896	-52.66843	Forest		Fruit (bait)	Orange (bait)											C. Braendle & A. Cutter	C. Braendle	2014-08-17		Layon 2	Fruit spot sampling experiment
		NIC1012		33-F4-1			NIC	4.03793	-52.67185	Forest		Flower	Clusia flowers, Clusia sp.											C. Braendle & A. Cutter	C. Braendle	2014-08-17		Layon 2	Fruit spot sampling experiment
		NIC1015		33-O2-2			NIC	4.03793	-52.67185	Forest		Fruit (bait)	Orange (bait),Orange (bait)											C. Braendle & A. Cutter	C. Braendle	2014-08-17		Layon 2	Fruit spot sampling experiment
		NIC1016		33-O3-1			NIC	4.03793	-52.67185	Forest		Fruit (bait)	Orange (bait)											C. Braendle & A. Cutter	C. Braendle	2014-08-17		Layon 2	Fruit spot sampling experiment
		NIC1028		31-O1			NIC	4.03896	-52.66843	Forest		Fruit (bait)	Orange (bait)											C. Braendle & A. Cutter	C. Braendle	2014-08-17		Layon 2	Fruit spot sampling experiment
		NIC1029		31-O5			NIC	4.03896	-52.66843	Forest		Fruit (bait)	Orange (bait)											C. Braendle & A. Cutter	C. Braendle	2014-08-17		Layon 2	Fruit spot sampling experiment
		NIC1033		38-A7			NIC	4.03724	-52.67196	Forest		Fruit (bait)	Orange bait											C. Braendle & A. Cutter	C. Braendle	2014-08-17		Layon 0, Parare	Above ground: orange bait stuck at 1m height on tree
		NIC1036		984a			NIC	4.04051	-52.67548	Forest		Fruit (bait)	Orange (bait)											C. Braendle & A. Cutter	C. Braendle	2014-08-17		P-I trail	Bait transect
