species	species_ID_method	strain	isotype	previous_names	sequenced	release	source_lab	latitude	longitude	landscape	locality_description	substrate	substrate_comments	substrate_temp	substrate_moisture	ambient_temp	ambient_humidity	associated_organism	life_stage	log_size_of_population	males_observed	inbreeding_state	photo	sampled_by	isolated_by	sampling_date	sampling_date_comments	isolation_comments	notes
		NIC961		888a			NIC	4.03726	-52.67143	Forest		Flowers	Inflorescence, rotting on ground, Bromeliaceae?												C. Braendle & A. Cutter	2014-08-15		Layon 0, Parare, Nouragues	
		NIC962		896 (896.2)			NIC	4.03875	-52.6677	Forest		Flowers	rotting inflorescence with small flowers												C. Braendle & A. Cutter	2014-08-15		Layon 2,  at end of Layon 0, Parare, Nouragues	
		NIC963		57.1			NIC	4.03069	-52.68071	Forest		Flowers	Clusia flowers, rotting, Clusia sp.												C. Braendle & A. Cutter	2014-08-18		Layon 1 far, Parare, Nouragues	
		NIC964		887b2-1			NIC	4.03701	-52.67172	Forest		Plant stem	Rotting plant stem on ground												C. Braendle & A. Cutter	2014-08-15		Layon 0, Parare, Nouragues	
		NIC965		887b2-2			NIC	4.03701	-52.67172	Forest		Plant stem	Rotting plant stem on ground												C. Braendle & A. Cutter	2014-08-15		Layon 0, Parare, Nouragues	
		NIC967		873.2			NIC	4.04007	-52.67494	Forest		Fruits	Fruit, hard shell												C. Braendle & A. Cutter	2014-08-14		P-I trail, Parare, Nouragues	
		NIC969		993.2			NIC	4.03952	-52.67598	Forest		Fruits	Rotting seed												C. Braendle & A. Cutter	2014-08-17		Layon 1, Parare, Nouragues	
		NIC970		63b1-1			NIC	4.03085	-52.68408	Forest		Fruits	Clusia fruits, large, old, rotten, Clusia sp.												C. Braendle & A. Cutter	2014-08-18		Layon 1 far, Parare, Nouragues	
		NIC972		887b1			NIC	4.03701	-52.67172	Forest		Plant stem	Rotting plant stem on ground												C. Braendle & A. Cutter	2014-08-15		Layon 0, Parare, Nouragues	
		NIC975		19a1			NIC	4.03819	-52.67066	Forest		Fruit (bait)	Orange (bait)											C. Braendle & A. Cutter	C. Braendle	2014-08-17		Layon 2	Bait transect
		NIC976		19a2			NIC	4.03819	-52.67066	Forest		Fruit (bait)	Orange (bait)											C. Braendle & A. Cutter	C. Braendle	2014-08-17		Layon 2	Bait transect
		NIC977		19b1			NIC	4.03819	-52.67066	Forest		Fruit (bait)	Orange (bait)											C. Braendle & A. Cutter	C. Braendle	2014-08-17		Layon 2	Bait transect
		NIC980		20b			NIC	4.03822	-52.67031	Forest		Fruit (bait)	Orange (bait)											C. Braendle & A. Cutter	C. Braendle	2014-08-17		Layon 2	Bait transect
		NIC983		21a			NIC	4.03848	-52.67002	Forest		Fruit (bait)	Orange (bait)											C. Braendle & A. Cutter	C. Braendle	2014-08-17		Layon 2	Bait transect
		NIC986		35c1			NIC	4.03726	-52.67243	Forest		Fruit (bait)	Orange (bait)											C. Braendle & A. Cutter	C. Braendle	2014-08-17		Layon 0	Bait transect
		NIC987		35c2			NIC	4.03726	-52.67243	Forest		Fruit (bait)	Orange (bait)											C. Braendle & A. Cutter	C. Braendle	2014-08-17		Layon 0	Bait transect
		NIC988		35c3			NIC	4.03726	-52.67243	Forest		Fruit (bait)	Orange (bait)											C. Braendle & A. Cutter	C. Braendle	2014-08-17		Layon 0	Bait transect
		NIC989		36b (36b1)			NIC	4.03713	-52.67196	Forest		Fruit (bait)	Orange (bait)											C. Braendle & A. Cutter	C. Braendle	2014-08-17		Layon 0	Bait transect
		NIC99		H6F4.1			NIC	4.08747	-52.67394	Forest		Fruit	Cecropia fruits, Cecropia sp.													2009-11-25		Grand Plateau, Subsampling H6	Subsampling Cecropia fruits, 25/11/2009. Samples H6, Grand Plateau, Nouragues Forest Station , French Guiana. 4.08747, -52.67394
		NIC993		940c			NIC	4.04255	-52.67816	Forest		Fruit (bait)	Orange (bait)											C. Braendle & A. Cutter	C. Braendle	2014-08-17		Layon 3	Bait transect
		NIC994		942c			NIC	4.04243	-52.67869	Forest		Fruit (bait)	Orange (bait)											C. Braendle & A. Cutter	C. Braendle	2014-08-17		Layon 3	Bait transect
		NIC999		994a			NIC	4.03938	-52.67617	Forest		Fruit (bait)	Orange (bait)											C. Braendle & A. Cutter	C. Braendle	2014-08-17		Layon 1	Bait transect
	test cross	QG131			1		QG	22.22955	-159.4764	Beach		rotting_fruit, pandanus	NA										no	M. Rockman	M. Rockman	2009-08-03		Sealodge Beach, Kauai, Hawaii	Isolated from two rotten pandanus fruits collected 8/3/09 under a pandanus tree along the trail down to Sealodge Beach, Princeville, Kauai, Hawaii. GPS N22°13.773´ W159°28.584´. Worms were isolated on agar plates and carried to CA in ependorf tubes 8/8/09, then transferred to NGM with OP50 in Abby Dernburg's lab, 8/14/09. The strain was frozen 8/23/09 without ever having been bleached.
	test cross	QG2896					QG	-16.10295	145.44645	Forest		Fruit	Sample 173b, rotting fruit									Selfed	yes	M. Rockman	M. Rockman	2017-07-10		Daintree Rainforest Observatory, Queensland, Australia	isolated from rotting fruit, collected 7/10/17 at Daintree Rainforest Observatory, Queensland. Funnel plated 7/19/17. Tons of worms, including Caeno hermaphrodites. No Caeno males. This line founded by one adult picked 7/19/17. Same sample (173b) as QG2897. Garmin GPS 16°06.177' S 145°26.787' E.
	test cross	QG2897					QG	-16.10295	145.44645	Forest		Fruit	Sample 173b, rotting fruit									Selfed	yes	M. Rockman	M. Rockman	2017-07-10		Daintree Rainforest Observatory, Queensland, Australia	isolated from rotting fruit, collected 7/10/17 at Daintree Rainforest Observatory, Queensland. Funnel plated 7/19/17. Tons of worms, including Caeno hermaphrodites. No Caeno males. This line founded by one adult picked 7/19/17. Same sample (173b) as QG2896. Garmin GPS 16°06.177' S 145°26.787' E.
	test cross	QG2898					QG	-16.103617	145.4467	Forest		Fruit	Sample 176, dry palm-fruit (?) husks									Selfed	yes	M. Rockman	M. Rockman	2017-07-10		Daintree Rainforest Observatory, Queensland, Australia	isolated from dry husks (palm fruit?) and associated slug, collected 7/10/17 at Daintree Rainforest Observatory, Queensland. Funnel plated 7/16/17. Few worms. This line founded by one adult picked 7/16/17. Same sample (176) as QG2899. Garmin GPS 16°06.217' S 145°26.802' E.
	test cross	QG2899					QG	-16.103617	145.4467	Forest		Fruit	Sample 176, dry palm-fruit (?) husks									Selfed	yes	M. Rockman	M. Rockman	2017-07-10		Daintree Rainforest Observatory, Queensland, Australia	isolated from dry husks (palm fruit?) and associated slug, collected 7/10/17 at Daintree Rainforest Observatory, Queensland. Funnel plated 7/16/17. Few worms. This line founded by one adult picked 7/16/17. Same sample (176) as QG2898. Garmin GPS 16°06.217' S 145°26.802' E.
	test cross	QG2904					QG	-16.10365	145.447317	Forest		Fruit	Sample 179uc, uncracked blackbean pod									Selfed	yes	M. Rockman	M. Rockman	2017-07-10		Daintree Rainforest Observatory, Queensland, Australia	isolated from uncracked blackbean, collected 7/10/17 at Daintree Rainforest Observatory, Queensland. Funnel plated 7/24/17. 1000s of worms, mostly Caeno hermaphrodites. No Caeno males. This line founded by one adult picked 7/24/17. Same sample (179uc) as QG2905. Garmin GPS 16°06.219' S 145°26.839' E.
	test cross	QG2905					QG	-16.10365	145.447317	Forest		Fruit	Sample 179uc, uncracked blackbean pod									Selfed	yes	M. Rockman	M. Rockman	2017-07-10		Daintree Rainforest Observatory, Queensland, Australia	isolated from uncracked blackbean, collected 7/10/17 at Daintree Rainforest Observatory, Queensland. Funnel plated 7/24/17. 1000s of worms, mostly Caeno hermaphrodites. No Caeno males. This line founded by one L4 picked 7/24/17. Same sample (179uc) as QG2904. Garmin GPS 16°06.219' S 145°26.839' E. Strange: on 7/29, this plate has multiple adult males.
	NA	QG800		MB38A			QG	9.158057	-79.834221	forest		rotting_flower, Gustavia superba	Substrate sample MB38, Gustavia superba									Selfed	NA	M. Bernstein	M. Bernstein	2012-04-25		Barbour Trail	rotting Gustavia flower
	NA	QG801		MB38B			QG	9.158057	-79.834221	forest		rotting_flower, Gustavia superba	Substrate sample MB38, Gustavia superba									Selfed	NA	M. Bernstein	M. Bernstein	2012-04-25		Barbour Trail	rotting Gustavia flower
	NA	QG820		MB20A			QG	9.152413	-79.850852	forest		rotting_flower, Gustavia superba	Substrate sample MB20, Gustavia superba									Selfed	MB20	M. Bernstein	M. Bernstein	2012-04-24		Armour Trail	rotting fig
	NA	QG823		MB20B			QG	9.152413	-79.850852	forest		rotting_flower, Gustavia superba	Substrate sample MB20, Gustavia superba									Selfed	MB20	M. Bernstein	M. Bernstein	2012-04-24		Armour Trail	rotting fig
	NA	QG834		TK38	1		QG	9.15385	-79.83077	forest		rotting_flower	Substrate sample TK38, white sepal									Selfed	None	T. Kaur	M. Rockman	2012-04-25		BCI isohermaphrodite line. Sample TK38 (MVR lysate 87). Adult isloated 4/28 > chunk 5/2 > chunk 5/19 > bleach 5/24	white sepals
	NA	QG835		TK29			QG	9.15447	-79.82758	forest		rotting_fruit	Substrate sample TK29, red fleshy fruit									Selfed	TK29_LeafOnly	T. Kaur	M. Rockman	2012-04-25		BCI isohermaphrodite line. Sample TK29 (MVR lysate 77). Adult isloated 4/28 > chunk 5/2 > chunk 5/19 > bleach 5/24	red fleshy fruit
	NA	QG836		TK29			QG	9.15447	-79.82758	forest		rotting_fruit	Substrate sample TK29, red fleshy fruit									Selfed	TK29_LeafOnly	T. Kaur	M. Rockman	2012-04-25		BCI isohermaphrodite line. Sample TK29 (MVR lysate 81). Plugged adult isolated 4/28 > chunk 5/3 > chunk 5/19 > bleach 5/24	red fleshy fruit
	NA	QG837		TK29			QG	9.15447	-79.82758	forest		rotting_fruit	Substrate sample TK29, red fleshy fruit									Selfed	TK29_LeafOnly	T. Kaur	M. Rockman	2012-04-25		BCI isohermaphrodite line. Sample TK29 (MVR lysate 80). Plugged adult isolated 4/28 > chunk 5/3; no males > chunk 5/19 > bleach 5/24	red fleshy fruit
	NA	QG838		TK29			QG	9.15447	-79.82758	forest		rotting_fruit	Substrate sample TK29, red fleshy fruit									Selfed	TK29_LeafOnly	T. Kaur	M. Rockman	2012-04-25		BCI isohermaphrodite line. Sample TK29 (MVR lysate 79). L4 isolated 4/28 > chunk 5/3 > chunk 5/19 > bleach 5/24	red fleshy fruit
	NA	QG839		TK29			QG	9.15447	-79.82758	forest		rotting_fruit	Substrate sample TK29, red fleshy fruit									Selfed	TK29_LeafOnly	T. Kaur	M. Rockman	2012-04-25		BCI isohermaphrodite line. Sample TK29 (MVR lysate 78). L4 isolated 4/28 > chunk 5/3 > chunk 5/19 > bleach 5/24	red fleshy fruit
	NA	QG840		DT-C-1			QG	9.161421	-79.837195	forest		rotting_flower, Gustavia superba	DT-C-1									Selfed	DT-C	M. Rockman	M. Rockman	20120426		BCI isohermaphrodite line. Sample DT-C-1 (MVR lysate 123). Adult isolated 4/27 > chunk 5/2 > chunk 5/19 > bleach 5/24 > frozen 6.1	rotting Gustavia flower
	NA	QG841		DT-C-2			QG	9.161421	-79.837195	forest		rotting_flower, Gustavia superba	DT-C-2									Selfed	DT-C	M. Rockman	M. Rockman	20120426		BCI isohermaphrodite line. Sample DT-C-2 (MVR lysate 125). Adult isolated 4/27 > biofilmy, ~10 worms picked 5/2 > chunk 5/19 > bleach 5/24	rotting Gustavia flower
	NA	QG842		DT-C-4			QG	9.161421	-79.837195	forest		rotting_flower, Gustavia superba	DT-C-4									Selfed	DT-C	M. Rockman	M. Rockman	20120426		BCI isohermaphrodite line. Sample DT-C-4 (MVR lysate 135). Adult isolated 4/27 > chunk 5/2 > chunk 5/19 > bleach 5/24 > frozen 5.30	rotting Gustavia flower
	NA	QG843		DT-C-4			QG	9.161421	-79.837195	forest		rotting_flower, Gustavia superba	DT-C-4									Selfed	DT-C	M. Rockman	M. Rockman	20120426		BCI isohermaphrodite line. Sample DT-C-4 (MVR lysate 131). Adult isolated 4/27 > chunk 5/2 > chunk 5/19 > bleach 5/24	rotting Gustavia flower
	NA	QG844		TK22			QG	9.15443	-79.82735	forest		rotting_flower	Substrate sample TK22, rotten petioles/immature fruits									Selfed	TK22or23	T. Kaur	M. Rockman	20120425		BCI isohermaphrodite line. Sample TK22 (MVR lysate 71). Adult isolated 4/27 > chunk 5/2 > chunk 5/19 > bleach 5/28 > frozen 6.5	rotten petioles or immature fruits
	NA	QG845		TK22			QG	9.15443	-79.82735	forest		rotting_flower	Substrate sample TK22, rotten petioles/immature fruits									Selfed	TK22or23	T. Kaur	M. Rockman	20120425		BCI isohermaphrodite line. Sample TK22 (MVR lysate 156). Adult isolated 4/28 > ~20 worms picked 5/3 > chunk 5/19 > bleach 5/28  > frozen 6.5	rotten petioles or immature fruits
	test cross	QG846		TK23			QG	9.15443	-79.82735	forest		rotting_flower	Substrate sample TK23, rotten petioles/immature fruits									Selfed	TK22or23	T. Kaur	M. Rockman	20120425		BCI isohermaphrodite line. Sample TK23 (MVR lysate 72). Population isolated 4/28 > chunk 5/3 > chunk 5/18 > worms singled to isolate briggsae and sp. 11 strains, 5/19 > isohermaphrodite line verified as sp. 11 by crosses with NIC203 and PS9392 > bleach 5/28. This strains seems to maintain lots of males > > frozen 6.5	rotten petioles or immature fruits
	NA	QG847		TK38			QG	9.15385	-79.83077	forest		rotting_flower	Substrate sample TK38, white sepal									Selfed	None	T. Kaur	M. Rockman	20120425		BCI isohermaphrodite line. Sample TK38 (MVR lysate 145). Adult isolated 4/27 > chunk 5/3 > chunk 5/19 > chunk 5/28 > frozen 6.9	white sepals
	NA	QG848		TK30			QG	9.15445	-79.82763	forest		rotting_flower, Gustavia superba	Substrate sample TK30, Gustavia superba									Selfed	None	T. Kaur	M. Rockman	20120425		BCI isohermaphrodite line. Sample TK30 (MVR lysate 83). Adult isolated 4/27 > chunk 5/2 > chunk 5/19 > chunk 5/28  > frozen 6.7	rotting Gustavia flower
	NA	QG849		MVR27			QG	9.159436	-79.844493	forest		rotting_fruit	Substrate sample MVR27, mostly eaten orange fruit									Selfed	MVR27	M. Rockman	M. Rockman	20120424		Wheeler Trail. BCI isohermaphrodite line. Sample MVR27 (MVR lysate 46). Adult isolated 4/28 > chunk 5/4 > chunk 5/19 > chunk 5/28 > frozen 6.7	partly eaten orange fruit across from red & white tower
	NA	QG850		MVR27			QG	9.159436	-79.844493	forest		rotting_fruit	Substrate sample MVR27, mostly eaten orange fruit									Selfed	MVR27	M. Rockman	M. Rockman	20120424		Wheeler trail. BCI isohermaphrodite line. Sample MVR27 (MVR lysate 47). Adult isolated 4/28 > chunk 5/3 > chunk 5/19 > chunk 5/28 > frozen 6.7	partly eaten orange fruit across from red & white tower
	NA	QG851		TK22			QG	9.15443	-79.82735	forest		rotting_flower	Substrate sample TK22, rotten petioles/immature fruits									Selfed	TK22or23	T. Kaur	M. Rockman	20120425		BCI isohermaphrodite line. Sample TK22 (MVR lysate 70). Biofilmy adult isolated 4/28 > chunk 5/3 > chunk 5/19 > chunk 5/28 > frozen 6.7	rotten petioles or immature fruits
	NA	QG852		TK22			QG	9.15443	-79.82735	forest		rotting_flower	Substrate sample TK22, rotten petioles/immature fruits									Selfed	TK22or23	T. Kaur	M. Rockman	20120425		BCI isohermaphrodite line. Sample TK22 (MVR lysate 141). Biofilmy adult isolated 4/28 > males present, 5/2; ~20 worms picked 5/3 > chunk 5/19 > chunk 5/28 > frozen 6.7	rotten petioles or immature fruits
	NA	QG853		SR3			QG	9.159372	-79.835975	forest		rotting_flower	Substrate sample SR3, yellow flower									Selfed		S. Rankin	M. Rockman	20120424		BCI isohermaphrodite line. Sample SR3 (MVR lysate 1). Adult isolated 4/27 > chunk 5/1 > chunk 5/19 > chunk 5/28 > frozen 6.7	yellow flower
	NA	QG921		APTK29			QG	9.164456	-79.844623	forest		rotting_flower	Substrate sample APTK29, rotting pink petals									Selfed		A. Paaby & T. Kaur	T. Kaur	20120424		Miller Trail FMx7; APTK_29 (TK lysate# 1); BCI isolate; androdioecious (males observed on 6/25/2012 in the lab); isohermaphroditic line from singled L4 on 4/24/2012	pink petals
	NA	QG935		TK_52_1			QG	9.159499	-79.838839	forest		rotting_fruit, seedpod	Substrate sample TK52, large seed pod, slimy inside									Selfed		T. Kaur	T. Kaur	20120426		TK_52_1 (TK lysate# 24); BCI isolate; androdioecious (males observed on 6/25/2012 in the lab); isohermaphroditic line established from singled L4 on 4/27/2012	large seed pod
	test cross	QG942		AMA10F			QG	9.144538	-79.854772	forest		rotting_fruit	Substrate sample AMA10, largish husk with rotty pulp inside - all dark brown with reddish inside									Selfed		A. Paaby, M. Bernstein, A. Chang	A. Chang	20120426		BCI hermaphrodite line. Sample AMA10F. Species identity confirmed by crossing to lab strain of C. sp. 11.> frozen 6.9	large husk with rotting pulp inside
	NA	QG975		AMA38			QG	9.1491	-79.856143	forest		rotting_flower, Gustavia superba	Substrate sample AMA38, Gustavia superba									Selfed		A. Paaby, M. Bernstein, A. Chang	M. Bernstein	20120426		BCI isohermaphrodite line. Sample AMA38B (MRB lysate 38)	
	test cross	QG981		AMA11C			QG	9.14576403	-79.8544232	forest		rotting_flower, Gustavia superba	Substrate sample AMA11C, Gustavia superba									Selfed		A. Chang	A. Chang	20120426		Wetmore Trail marker 17; BCI hermaphrodite line.  Sample AMA11C.  Species identity confirmed by crossing to lab strain of C. sp. 11.	rotting Gustavia flower
	test cross	QG987		AMA24C			QG	9.147419	-79.85312	forest		rotting_flower, Gustavia superba	Substrate sample AMA24, Gustavia superba									Selfed		A. Paaby, M. Bernstein, A. Chang	A. Chang	20120426		Wetmore Trail marker 14; BCI hermaphrodite line.  Sample AMA24C.  Species identity confirmed by crossing to lab strain of C. sp. 11.	rotting Gustavia flower
	18S	QG1000		AP_7_10			QG	9.170850606	-79.84289876	forest		rotting_fruit	Substrate sample AP7, more orange fruit									Selfed		A. Paaby	T. Kaur	20120424		AP_7_1 (TK lysate# 13); BCI isolate; gonochoristic/androdioecious (males observed 5/11/2012 in lab after chunking of the original isolation plate); isohermaphroditic/isofemale line established from a singled plugged female/hermaphrodite on 4/25/2012. Species ID by 18S sequence by John Yuen; Coords 9°10'15" N 79°50'34" W	orange fruit
	18S	QG1004		APTK_23_3			QG	9.164456	-79.844623	forest		rotting_fruit	Substrate sample APTK23, rotting mush									Selfed		A. Paaby, T. Kaur	T. Kaur	20120424		Miller Trail FMx7; APTK_23_3 (TK lysate# 19); BCI isolate; androdioecious (males observed on 6/25/2012 in the lab); isohermaphroditic line established from a singled L4 on 4/28/2012. Species ID by 18S sequence by John Yuen.	rotting Gustavia flower
	test cross	QG2965					QG	9.166166667	-79.84	forest		large germinating nut/bean, 4cm, invaded by insects and containing slimy rot inside	Substrate sample MR201.3.	28								Selfed		M. Rockman	J. Jackson	20180821			
	test cross	QG3007					QG	9.16925	-79.83801667	forest		rotting_fruit	Substrate sample MR212.3.									Selfed		M. Rockman	J. Jackson	20180821			
	test cross	QG3008					QG	9.16005	-79.841	forest		palm pollen structures, on plant	Substrate sample MR214.	26								Selfed		M. Rockman	J. Jackson	20180822			
	test cross	QG3009					QG	9.16005	-79.841	forest		palm pollen structures, on plant	Substrate sample MR214.	26								Selfed		M. Rockman	J. Jackson	20180822			
	test cross	QG3010					QG	9.159966667	-79.84096667	forest		small (<1cm) red fruit caps, some rotten to black, with soil.	Substrate sample MR215.1.	26.3								Multiple worms		M. Rockman	J. Jackson	20180822			
	test cross	QG3011					QG	9.159966667	-79.84096667	forest		small (<1cm) red fruit caps, some rotten to black, with soil.	Substrate sample MR215.2.	26.3								Selfed		M. Rockman	J. Jackson	20180822			
	test cross	QG3013					QG	9.159766667	-79.841	forest		small brownish mushy fruits, lots of flies around. Several per sample, each sample about a foot from any other	Substrate sample MR216.1.									Selfed		M. Rockman	J. Jackson	20180822			
	test cross	QG3020					QG	9.1619	-79.83705	forest		rotting_fruit, Spondias mombin	Substrate sample MR224.2.									Selfed		M. Rockman	J. Jackson	20180823			
	test cross	QG3024					QG	9.1584	-79.84555	forest		fibrous stuff from under a tall palm tree	Substrate sample MR233.									Selfed		M. Rockman	J. Jackson	20180824			
	test cross	QG3028					QG	9.1581	-79.84743333	forest		rotting_fruit	Substrate sample MR239.3.									Selfed		M. Rockman	J. Jackson	20180824			
	test cross	QG3029					QG	9.1581	-79.84743333	forest		rotting_fruit	Substrate sample MR239.4.									Selfed		M. Rockman	J. Jackson	20180824			
	test cross	QG3035					QG	9.164533333	-79.84156667	forest		rotting_flower	Substrate sample MR250.2.									Multiple species		M. Rockman	J. Jackson	20180825			
	test cross	QG3036					QG	9.164533333	-79.84156667	forest		rotting_flower	Substrate sample MR250.3.									Selfed		M. Rockman	J. Jackson	20180825			
	test cross	QG3037					QG	9.164533333	-79.84156667	forest		rotting_flower	Substrate sample MR250.3.									Selfed		M. Rockman	J. Jackson	20180825			
	test cross	QG3038					QG	9.164533333	-79.84156667	forest		rotting_flower	Substrate sample MR250.4.									Selfed		M. Rockman	J. Jackson	20180825			
	test cross	QG3040					QG	9.164216667	-79.83736667	forest		rotting_fruit, Spondias mombin	Substrate sample MR251.1.									Selfed		M. Rockman	J. Jackson	20180825			
	test cross	QG3042					QG	9.164216667	-79.83736667	forest		rotting_fruit, Spondias mombin	Substrate sample MR251.2.									Selfed		M. Rockman	J. Jackson	20180825			
	test cross	QG3055					QG	9.16484	-79.83659	forest		rotting_fruit, Spondias mombin	Substrate sample SS-D4.									Multiple worms		S. Sloat	J. Jackson	20180823			
	test cross	QG3064					QG	9.16092	-79.84046	forest		rotting_fruit, Ficus	Substrate sample SS-S5.									Multiple species		S. Sloat	M. Rockman	20180822			
	NA	QG2651					QG	9.153933333	-79.83166667	Forest		bait, agar	Agar bait A3-5									Selfed		M. Bernstein	M. Bernstein	20150327			
	18S	QG2697					QG	9.1598	-79.8399	Forest		bait, Gustavia superba slurry	Cup Lutz Eq6									Selfed		M. Rockman	M. Rockman	20150327			
	18S	QG2699					QG	9.1598	-79.8399	Forest		bait, Gustavia superba slurry	Cup Lutz Eq6									Multiple worms		M. Rockman	M. Rockman	20150327			
	18S	QG2720					QG	9.16835	-79.839279	Forest		bait, agar	Agar bait A25-3									Selfed		M. Rockman	M. Rockman	20150327			
	18S	QG2724					QG	9.1598	-79.8399	Forest		bait, Gustavia superba slurry	Cup Lutz E71									Selfed		L. Noble	L. Noble	20150327			
	18S	QG2725					QG	9.1598	-79.8399	Forest		bait, Gustavia superba slurry	Cup Lutz E71									Selfed		L. Noble	L. Noble	20150327			
	18S	QG2726					QG	9.1598	-79.8399	Forest		bait, Gustavia superba slurry	Cup Lutz Eq3									Selfed		L. Noble	L. Noble	20150327			
	18S	QG2727					QG	9.1598	-79.8399	Forest		bait, Gustavia superba slurry	Cup Lutz Eq3									Selfed		L. Noble	L. Noble	20150327			
	18S	QG2733					QG	9.1598	-79.8399	Forest		bait, Gustavia superba slurry	Cup Lutz Eq3									Selfed		L. Noble	L. Noble	20150327			
	18S	QG2755					QG	9.1598	-79.8399	Forest		bait, Gustavia superba slurry	Cup Lutz Eq3									Selfed		L. Noble	L. Noble	20150327			
	NA	QG2773					QG	9.1576	-79.83393333	Forest		bait, agar	Agar bait A11-3									Selfed		L. Noble	L. Noble	20150327			
